date,interviewer,interviewee_position,research_q,q_field,interview_turn,data,speaker,Code,LTP,Activity,Value_activity,Bias_activity,Q8_aware,Evidence,Value_evid,Constraining_factors,Enabling_factors,Outcomes,NGO_network,Gvt_network,Code_notes
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,1,Conversation before interview questions,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,2,Thank you so much for agreeing to have this interview as you read from the consent form,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,3,"This research is part of play our part community of practice and this practice has got partners who are supporting governments in the region that’s Zambia, Rwanda and Uganda with implementation of learning through play in area of early learning education, so having consented to take the interview, I would like to find out if you have any questions for me before we start the interview.",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,4,Aaah nothing maybe we can go ahead I wish I could get some of the questions but its fine is it the learning through play by the VVOB team.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,Conversation before interview questions,5,"That’s the same, thank you so much Dr",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",6,"you can start by introducing yourself, name and your position",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",7,Am CENSOR CENSOR aaah I work for the project Zambia and health early learning at World bank.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",8,"Under the project I am an Early learning care specialist, so I still deal with issues to do with early childhood education and care specialist, under the same project I am looking at teacher recruitment and how to capacity build the teachers and the care givers at CPD, those who are employed and those to be employed",respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",9,And the other sector am looking at is empowering the parents and young mothers who have children and other community engagement so am in terms of my academic background but that’s me unless if you want me to talk about my area of specialty,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",10,"I am a psychologist a developmental psychologist aaah I have worked in the ministry of education for 26 years, in the primary section, secondary section and the college",respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",11,"I was the senior verification officer for early education learning, a principal education officer",respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",12,"I have a certificate in teaching, a diploma in secondary teaching, a degree in psychology and a masters in psychology from the university of Zambia and a Ph.D",respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",13,from the university of cape town aaah that is me in terms of my small cv.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",14,"Thank you so much Doctor, by the way I have 15 questions which should take us about an hour to complete.",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",15,"Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc.)",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
